旭景家园 实用三房 厅出阳台 保养好 安静带花园,旭景家园,东圃,3室2厅 ,106.97, 北 , 简装 ,11,2002, 塔楼,14,23,5200000.0,48612,VR房源 房本满五年 
芳满庭园两房 中高层 视野采光好 诚心出售,华景新城芳满庭园,华景新城,2室2厅 ,71.38, 北 , 精装 ,36,2005, 塔楼,28,17,4950000.0,69348,VR房源 房本满五年 
德荣小区 无抵押 户口没占用满五唯一 小区正在微改造,德荣小区,龙口西,1室1厅 ,50.58, 南 , 简装 ,8,1995, 塔楼,24,12,3300000.0,65244,VR房源 房本满五年 随时看房 
品质小区正南向安静高层大三房厅出阳台采光好居住舒适,华建大厦,天河公园,3室2厅 ,111.79, 南 , 精装 ,18,2004, 塔楼,24, 1个月以前发布,10620000.0,95000,VR看装修 房本满五年 
东南向望公园，眺望国际金融城、琶洲展馆。独梯入户,隽园,天河公园,3室2厅 ,157.86, 东南 , 精装 ,31,2007, 塔楼,74, 5个月以前发布,15800000.0,100089,近地铁 VR看装修 房本满五年 
高楼层方正户型，采光视野好无遮挡,历德雅舍,华景新城,4室2厅 ,133.74, 东南 , 精装 ,18,2005, 塔楼,128, 5个月以前发布,11500000.0,85988,VR房源 房本满五年 
华江花园 3室2厅 南,华江花园,天河公园,3室2厅 ,116.7, 南 , 其他 ,9,2006, 塔楼,42,13,6180000.0,52957,VR看装修 
天河北 华阳 东南 厅出阳台 大三房 高楼层视野无遮挡,体育西苑,体育中心,3室2厅 ,132.86, 东南 , 精装 ,38,2002, 塔楼,29, 1个月以前发布,11700000.0,88063,VR房源 房本满五年 
珠江新城东，华颖轩，南向三房一厅两卫两阳台，近地铁,华颖轩,员村,3室1厅 ,114.01, 南 , 精装 ,25,2004, 塔楼,92, 3个月以前发布,6680000.0,58592,VR看装修 房本满五年 
天誉华庭，格局方正大四房，精装修,天誉华庭,龙口西,4室2厅 ,203.01, 东 南 北 , 精装 ,38,2004, 板塔结合,28, 2个月以前发布,16000000.0,78814,VR房源 房本满五年 
户型方正实用，望体育场，高层视野开阔,都市华庭(天河),体育中心,3室2厅 ,147.0, 西 , 毛坯 ,32,2001, 板塔结合,60, 一年前发布,10000000.0,68028,近地铁 VR房源 房本满五年 随时看房 
豪景花园，电梯高层，三房一厅，户型好，采光通风好,豪景花园,沙河,3室2厅 ,93.98, 东南 , 简装 ,19,2013, 塔楼,154, 一年前发布,3730000.0,39690,VR看装修 房本满五年 随时看房 
温馨两房、价格便宜、南北对流、安静看花园、通风好,富力天朗明居,棠下,2室1厅 ,65.68, 东北 , 简装 ,26,2002, 塔楼,30,12,3800000.0,57857,VR房源 房本满两年 
中层2房，户型方正，采光好，视野开阔,加拿大花园,华景新城,2室1厅 ,60.38, 东 西 , 精装 ,28,1995, 塔楼,9,14,2900000.0,48030,VR看装修 房本满两年 
中海康城 3室2厅 北,中海康城,黄村,3室2厅 ,120.72, 北 , 简装 ,20,2003, 塔楼,27,8,6500000.0,53844,近地铁 VR看装修 房本满五年 
满五唯一，南向精装大二房，有带一个小平台。,美林湖畔花园誉府,东圃,2室2厅 ,82.81, 南 , 精装 ,10,2013, 塔楼,47,11,5380000.0,64968,VR看装修 房本满两年 
